PartID,CatalogID,PartString,Description - Updated 11/11/10,Quantity, Price ,Labor,Lin Ft Price, Item Price ,SuppressInBom,BulkPriced,HideInBom,SpecialFlags,Weight,Image
100004242,4,000.935.040.010.00M,"Adjustable Safety Shelf, (42x12), Hardrock Maple",1,25.51,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004243,4,000.935.921.010.00M,"Adjustable Safety Shelf, (12x14), Hardrock Maple",1,10.4,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004244,4,000.935.981.010.00M,"Adjustable Safety Shelf, (18x14), Hardrock Maple",1,14.19,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004245,4,000.935.011.010.00M,"Adjustable Safety Shelf, (24x14), Hardrock Maple",1,19.22,0.025,,,FALSE,FALSE,0,"CutV,CutD",7,100001385
100004246,4,000.935.021.010.00M,"Adjustable Safety Shelf, (30x14), Hardrock Maple",1,21.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004247,4,000.935.031.010.00M,"Adjustable Safety Shelf, (36x14), Hardrock Maple",1,25.51,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004248,4,000.935.041.010.00M,"Adjustable Safety Shelf, (42x14), Hardrock Maple",1,30.55,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004249,4,000.935.922.010.00M,"Adjustable Safety Shelf, (12x16), Hardrock Maple",1,11.67,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004250,4,000.935.982.010.00M,"Adjustable Safety Shelf, (18x16), Hardrock Maple",1,15.44,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004251,4,000.935.012.010.00M,"Adjustable Safety Shelf, (24x16), Hardrock Maple",1,20.47,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004252,4,000.935.022.010.00M,"Adjustable Safety Shelf, (30x16), Hardrock Maple",1,24.26,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004253,4,000.935.032.010.00M,"Adjustable Safety Shelf, (36x16), Hardrock Maple",1,28.03,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004254,4,000.935.042.010.00M,"Adjustable Safety Shelf, (42x16), Hardrock Maple",1,31.81,0.025,,,FALSE,FALSE,0,"CutV,CutD",14,100001385
100004255,4,000.935.923.010.00M,"Adjustable Safety Shelf, (12x20), Hardrock Maple",1,14.19,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004256,4,000.935.983.010.00M,"Adjustable Safety Shelf, (18x20), Hardrock Maple",1,17.96,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004257,4,000.935.013.010.00M,"Adjustable Safety Shelf, (24x20), Hardrock Maple",1,21.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004258,4,000.935.023.010.00M,"Adjustable Safety Shelf, (30x20), Hardrock Maple",1,26.77,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004259,4,000.935.033.010.00M,"Adjustable Safety Shelf, (36x20), Hardrock Maple",1,30.55,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004260,4,000.935.043.010.00M,"Adjustable Safety Shelf, (42x20), Hardrock Maple",1,34.33,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004261,4,000.935.924.010.00M,"Adjustable Safety Shelf, (12x24), Hardrock Maple",1,15.44,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004262,4,000.935.984.010.00M,"Adjustable Safety Shelf, (18x24), Hardrock Maple",1,21.74,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004263,4,000.935.014.010.00M,"Adjustable Safety Shelf, (24x24), Hardrock Maple",1,28.03,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004264,4,000.935.024.010.00M,"Adjustable Safety Shelf, (30x24), Hardrock Maple",1,34.33,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004265,4,000.935.034.010.00M,"Adjustable Safety Shelf, (36x24), Hardrock Maple",1,40.62,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004266,4,000.935.044.010.00M,"Adjustable Safety Shelf, (42x24), Hardrock Maple",1,46.92,0.025,,,FALSE,FALSE,0,"CutV,CutD",21,100001385
100004267,4,000.935.920.009.00M,"Adjustable Safety Shelf, (12x12), Windswept Pewter",1,10.08,0.025,,,FALSE,FALSE,0,"CutV,CutD",3,100001385
100004268,4,000.935.980.009.00M,"Adjustable Safety Shelf, (18x12), Windswept Pewter",1,14.41,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004269,4,000.935.010.009.00M,"Adjustable Safety Shelf, (24x12), Windswept Pewter",1,17.3,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004270,4,000.935.020.009.00M,"Adjustable Safety Shelf, (30x12), Windswept Pewter",1,21.63,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004271,4,000.935.030.009.00M,"Adjustable Safety Shelf, (36x12), Windswept Pewter",1,24.52,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004272,4,000.935.040.009.00M,"Adjustable Safety Shelf, (42x12), Windswept Pewter",1,28.85,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004273,4,000.935.921.009.00M,"Adjustable Safety Shelf, (12x14), Windswept Pewter",1,11.52,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
